Account #,Account Name,Type,Notes / How to use it
40000,Revenue,Income (header),"Use ONE sales account — split channels with Classes to run Profit by Sales Channel (Shopify, Amazon, wholesale)"
40100,Sales,Income,All product sales; tag each transaction with a Class per channel
40200,Sales Returns,Income,Contra-revenue — returns & refunded sales
40300,Discounts,Income,Contra-revenue — discount codes & promotions
50000,Cost of Goods Sold,Cost of Sales (header),Product & landed cost expensed here as items sell — keep clean of adjustments
50010,Cost of Goods Sold,Cost of Sales,Landed unit cost of items sold
50020,Shrinkage,Cost of Sales,"Track separately if high so you can chase compensation; post large one-off write-offs to Other Expenses (80000)"
50100,Landed Costs,Cost of Sales (header),"Costs to get product ready to fulfill — these sit in Inventory on the balance sheet and only expense through COGS when sold"
50110,3PL Storage Fees,Cost of Sales,
50120,FBA Storage Fees,Cost of Sales,
50140,3PL Labor Charges,Cost of Sales,
51000,Fulfillment Costs,Cost of Sales (header),Everything needed to get product from your warehouse to the customer's door
51010,Amazon FBA Fees,Cost of Sales,
51020,Outbound Freight,Cost of Sales,
51030,Shipping & Delivery,Cost of Sales,
52000,Marketplace Fees,Cost of Sales,Use Classes to see the breakdown by sales channel
61000,Marketing & Advertising,Expense (header),"Split large, distinct channels into subaccounts (e.g. 61010 Google Ads, 61020 Facebook Ads)"
62000,Payroll,Expense (header),Add subaccounts as needed (wages, contractors, payroll taxes)
63000,Administrative Expenses,Expense (header),"Combine trivial costs here (e.g. office supplies + postage)"
64000,Professional Services,Expense (header),Accounting / bookkeeping / legal
65000,Finance Expenses,Expense (header),"Post to a subaccount like 65010 Bank Charges — never the header itself"
70000,Other Income,Other Income,Non-operating income outside your core business
80000,Other Expenses,Other Expense,"Large one-time / non-operating items (e.g. a freak inventory loss). Keeps Net Ordinary Income clean"
,,,
BALANCE SHEET NOTE,,,"Landed costs (brokerage fees, import fees, duties, inbound freight, product cost) belong in Inventory on the balance sheet. They expense through COGS (50000) only when the item sells — not when you pay them."
CHART TIPS,,,"1) Every account needs a clear purpose — no 'miscellaneous' or 'ask accountant'.  2) Post to subaccounts, not header accounts.  3) Deactivate accounts you no longer use.  4) Balance simplicity vs. insight; use Classes to compare channels instead of duplicating accounts."
